Timestamp,Coder initials,Article ID,Can you view an open access version of this article?,Which version of the article are you coding?,Does the article report on empirical data?,What is the research design? (tick all that apply),Does the article state whether or not the study (or some aspect of the study) was preregistered?,Copy and paste the verbatim statement,How did you identify the statement?,How is the preregistration accessed? (according to the statement),Can you access and view the preregistration (without contacting anyone)?,Does the article state whether or not data are available?,Copy and paste the verbatim statement.,How did you identify the statement?,How are the data accessed? (according to the statement),"Can you access, download, and view the data (without contacting anyone)?",Does the article state whether or not materials are available?,Copy and paste the verbatim statement.,How did you identify the statement?,How are the materials accessed? (according to the statement),"Can you access, download, and view the materials (without contacting anyone)?",Does the article state whether or not analysis scripts are available?,Copy and paste the verbatim statement.,How did you identify the statement?,How is the analysis script accessed? (according to the statement),"Can you access, download, and view the analysis script (without contacting anyone)?",Does the article include a statement indicating whether there were funding sources?,Copy and paste the verbatim statement.,How did you identify the statement?,Does the article include a statement indicating whether there were any conflicts of interest?,Copy and paste the verbatim statement.,How did you identify the statement?,You can use this space to record anything interesting or problematic about this article
10/31/2023 0:12:42,SAH,2826,Yes,Journal's version of record,Yes,Experimental,NO — there is no statement about preregistration,,,,,NO — there is no data availability statement,,,,,NO — there is no materials availability statement,,,,,NO — there is no analysis script availability statement,,,,,NO — there is no funding statement,,,NO — there is no conflict of interest statement,,,
10/31/2023 0:17:32,SAH,6408,Yes,Journal's version of record,Yes,Non-experimental,NO — there is no statement about preregistration,,,,,NO — there is no data availability statement,,,,,NO — there is no materials availability statement,,,,,NO — there is no analysis script availability statement,,,,,YES — the statement discloses at least one source of funding,This study was funded by the Canadian Institutes of Health Research (CIHR) Operating Grant (OV6-170365) awarded to Dr. Kimberly A. Noels and Dr. Nigel Mantou Lou.,Keyword search was sufficient,NO — there is no conflict of interest statement,,,
10/31/2023 0:25:32,SAH,18740,No — I can only access the article through a paywall,Journal's version of record,Yes,Non-experimental,YES — the statement says that there is no preregistration,This study’s design and its analysis were not preregistered.,Keyword search was sufficient,N/A - Not pre-registered.,NO,YES — the statement says that the data are not available,Data for this study are not available because the surveyed company required that all the data we collected must be handled by our research team only. ,Keyword search was sufficient,N/A - Not available.,NO,YES — the statement says that the materials are available,"All measures, analysis codes, and output files are available at https://osf.io/qkg3u/.",Keyword search was sufficient,"An online, third-party repository (e.g., OSF, FigShare etc.)",YES,YES — the statement says that the analysis scripts are available,"All measures, analysis codes, and output files are available at https://osf.io/qkg3u/.",Keyword search was sufficient,"An online, third-party repository (e.g., OSF, FigShare etc.)",YES,NO — there is no funding statement,,,NO — there is no conflict of interest statement,,,
10/31/2023 11:57:47,NM,13937,Yes,Journal's version of record,Yes,Non-experimental,NO — there is no statement about preregistration,,,,,NO — there is no data availability statement,,,,,NO — there is no materials availability statement,,,,,NO — there is no analysis script availability statement,,,,,YES — the statement discloses at least one source of funding,This work was supported by the University of Washington Department of Communication.,Keyword search was sufficient,YES — the statement says that there were no conflicts of interest,The authors have no relevant financial or non-financial interests to disclose.,Keyword search was sufficient,
10/31/2023 15:47:42,NM,2756,Yes,Journal's version of record,Yes,Experimental,NO — there is no statement about preregistration,,,,,YES — the statement says that the data are available,"The data that support the findings of this study are available
on request from the author.",Keyword search was sufficient,Upon request from the authors,NO,NO — there is no materials availability statement,,,,,NO — there is no analysis script availability statement,,,,,YES — the statement discloses at least one source of funding,"This research project was supported by the Swiss Federal Department of Defence, Civil Protection and Sport.",Keyword search was sufficient,YES — the statement says that there were no conflicts of interest,No potential conflict of interest was reported by the author(s).,Keyword search was sufficient,
10/31/2023 15:58:21,NM,50912,No — I can only access the article through a paywall,Journal's version of record,Yes,Experimental,NO — there is no statement about preregistration,,,,,YES — the statement says that the data are available,"The data are publicly available at https://doi.org/10.5061/
dryad.4j0zpc89w.",Keyword search was sufficient,"An online, third-party repository (e.g., OSF, FigShare etc.)",YES,NO — there is no materials availability statement,,,,,NO — there is no analysis script availability statement,,,,,YES — the statement discloses at least one source of funding,This research was supported by a Natural Sciences and Engineering Research Council of Canada Discovery Grant to DFS (#105542),Keyword search was sufficient,YES — the statement says that there were no conflicts of interest,We have no conflicts or competing interests.,Keyword search was sufficient,
10/31/2023 16:14:27,NM,13823,Yes,Journal's version of record,Yes,Experimental,NO — there is no statement about preregistration,,,,,YES — the statement says that the data are available,"The raw data supporting the conclusions of this article will be made available by the authors, without undue reservation.",Keyword search was sufficient,Upon request from the authors,NO,"A link is provided to one of the models used: ""The ResNet152-hybrid1365 model is publicly available at https:// github.com/CSAILVision/places365""",The ResNet152-hybrid1365 model is publicly available at https:// github.com/CSAILVision/places365,Manual search was needed,"An online, third-party repository (e.g., OSF, FigShare etc.)",YES,NO — there is no analysis script availability statement,,,,,YES — the statement discloses at least one source of funding,This research was supported by JSPS KAKENHI Grant Numbers JP15H02713 and JP20H04488.,Keyword search was sufficient,YES — the statement says that there were no conflicts of interest,The author declares that the research was conducted in the absence of any commercial or financial relationships that could be construed as a potential conflict of interest.,Keyword search was sufficient,
10/31/2023 16:24:13,NM,32,Yes,Journal's version of record,Yes,Experimental,NO — there is no statement about preregistration,,,,,YES — the statement says that the data are available,Data for the project can be obtained here: https://osf.io/d29zg/.,Keyword search was sufficient,"An online, third-party repository (e.g., OSF, FigShare etc.)",YES,NO — there is no materials availability statement,,,,,NO — there is no analysis script availability statement,,,,,YES — the statement discloses at least one source of funding,"This research was funded in part by National Institutes of Health grants HL112350 and HL147179. The funder had no role in the study design, data collection, data analysis and interpretation, writing of the report, or decision to submit the article for publication.",Keyword search was sufficient,YES — the statement says that there were no conflicts of interest,The authors declare no competing interests.,Keyword search was sufficient,
10/31/2023 16:33:25,NM,68570,No — I can only access the article through a paywall,Journal's version of record,Yes,Non-experimental,NO — there is no statement about preregistration,,,,,YES — the statement says that the data are available,"The data presented in this research, as well as the analysis scripts are available at https://osf.io/765cp/.",Keyword search was sufficient,"An online, third-party repository (e.g., OSF, FigShare etc.)",YES,NO — there is no materials availability statement,,,,,YES — the statement says that the analysis scripts are available,"The data presented in this research, as well as the analysis scripts are available at https://osf.io/765cp/.",Keyword search was sufficient,"An online, third-party repository (e.g., OSF, FigShare etc.)",YES,NO — there is no funding statement,,,YES — the statement says that there were no conflicts of interest,All authors declare no conflict of interest.,Keyword search was sufficient,
11/3/2023 22:27:14,NM,62726,No — I can only access the article through a paywall,Journal's version of record,Yes,Experimental,NO — there is no statement about preregistration,,,,,NO — there is no data availability statement,,,,,NO — there is no materials availability statement,,,,,NO — there is no analysis script availability statement,,,,,NO — there is no funding statement,,,NO — there is no conflict of interest statement,,,
11/3/2023 22:37:15,NM,26045,No — I can only access the article through a paywall,Journal's version of record,Yes,Experimental,NO — there is no statement about preregistration,,,,,YES — the statement says that the data are available,"Study procedure, bilingual scripts, materials, and data can be accessed from: https://osf.io/fr7b5/.",Keyword search was sufficient,"An online, third-party repository (e.g., OSF, FigShare etc.)",YES,YES — the statement says that the materials are available,"Study procedure, bilingual scripts, materials, and data can be accessed from: https://osf.io/fr7b5/.",Keyword search was sufficient,"An online, third-party repository (e.g., OSF, FigShare etc.)",YES,NO — there is no analysis script availability statement,,,,,YES — the statement discloses at least one source of funding,"This work is supported by the grants from the National Natural Science Foundation of China (31600899) awarded to Zhen Wu, the Tsinghua University Initiative Scientific Research Program (20197020010) awarded to Chenhao Hu and Fei Wang, and the Tsinghua University Research Training Program awarded to Chenhao Hu and Zhen Wu.",Keyword search was sufficient,NO — there is no conflict of interest statement,,,
11/5/2023 20:42:38,NM,17707,Yes,Journal's version of record,Yes,Non-experimental,NO — there is no statement about preregistration,,,,,YES — the statement says that the data are available,"A Python Jupyter Notebook presenting the cluster analysis and a second Jupyter Notebook documenting the evaluation of the ABM outcomes are available on a Github repository. Therein, the original questionnaire and its response table are also contained (Filomena, 2022a). Along with the case study input data, the agent-based model is freely available on a GitHub repository (Filomena, 2022b).",Keyword search was sufficient,"An online, third-party repository (e.g., OSF, FigShare etc.)",YES,"There is a reference to the questionnaire used being available on Github, but I was not able to locate it","A Python Jupyter Notebook presenting the cluster analysis and a second Jupyter Notebook documenting the evaluation of the ABM outcomes are available on a Github repository. Therein, the original questionnaire and its response table are also contained (Filomena, 2022a). Along with the case study input data, the agent-based model is freely available on a GitHub repository (Filomena, 2022b).",Manual search was needed,"An online, third-party repository (e.g., OSF, FigShare etc.)","It might be available on the Github pages, but I haven't been able to find it",YES — the statement says that the analysis scripts are available,"A Python Jupyter Notebook presenting the cluster analysis and a second Jupyter Notebook documenting the evaluation of the ABM outcomes are available on a Github repository. Therein, the original questionnaire and its response table are also contained (Filomena, 2022a). Along with the case study input data, the agent-based model is freely available on a GitHub repository (Filomena, 2022b).",Manual search was needed,"An online, third-party repository (e.g., OSF, FigShare etc.)",YES,NO — there is no funding statement,,,NO — there is no conflict of interest statement,,,"I interpreted the data availability statement as including analysis scripts, hopefully this is appropriate."
11/5/2023 20:54:23,NM,48798,No — I can only access the article through a paywall,Journal's version of record,Yes,Meta-analysis,YES — the statement says that there is a preregistration,The protocol was registered in PROSPERO (CRD42018107609).,Keyword search was sufficient,PROSPERO,YES,YES — the statement says that the data are not available,No additional data are available.,Keyword search was sufficient,No indication of how to access data,NO,NO — there is no materials availability statement,,,,,NO — there is no analysis script availability statement,,,,,YES — the statement discloses at least one source of funding,"Funding for this work was made available through Deakin University. EHT, CH and JS are supported by the core funding to the Australian Centre for Behavioural Research in Diabetes provided by collaboration between Diabetes Victoria and Deakin University. The funding bodies had no role in the formation of the study question, study design, interpretation of results.",Keyword search was sufficient,YES — the statement says that there were no conflicts of interest,All authors have completed the ICMJE uniform disclosure form at www.icmje.org/coi_disclosure.pdf and declare no support from any organisation for the submitted work; no financial relationships with any organisations that might have an interest in the submitted work in the previous 3 years; no other relationships or activities that could appear to have influenced the submitted work.,Keyword search was sufficient,
11/5/2023 21:07:41,NM,75660,Yes,Journal's version of record,Yes,Non-experimental,NO — there is no statement about preregistration,,,,,"There is a data availability statement, but it doesn't say anything about data availability","Data Availability This article is distributed under the terms of the Creative Commons Attribution 4.0 International License (http://creativecommons.org/licenses/by/4.0/), which permits unrestricted use, distribution, and reproduction in any medium, provided you give appropriate credit to the original author(s) and the source, provide a link to the Creative Commons license, and indicate if changes were made.",Keyword search was sufficient,No indication,NO,The instruments used are referenced,"The present research belongs to a broader project examining the interactions of gamer and game-related influences in the emergence of IGD behaviors among young adults, MMO gamers. Instruments used in the data include the following: (1) Internet Gaming Disorder 9- Short Form (Pontes and Griffiths 2015); (2) Beck Depression Inventory II (Beck et al. 1996); (3) Beck Anxiety Inventory (Beck and Steer 1990); (4) Hikikomori-SocialWithdrawal Scale
(Teo et al. 2015); (5) Attention Deficit Hyperactivity Self-Report Scale (Kessler et al. 2005); (6); Ten Item Personality Inventory (Gosling et al. 2003); (7) The Balanced Family Cohesion Scale (Olson 2000); (8) Presence Questionnaire (Faiola et al. 2013); (9) Online Flow Questionnaire (Chen et al. 2000) (10) Self-Presence Questionnaire (Ratan and Hasler 2009; Ratan and Dawson 2016; (11) The Gaming-Contingent Self-Worth Scale (Beard and Wickham 2016); and (12) Demographic and Internet Use Questions. The above sequence of selfreported scales was administered for Internet and FtF respondents, while a fitness tracker (Fitbit flex) was additionally employed to monitor physical activity in the FtF collection mode. Different parts of the data have been used to answer different research aims in the four previously published studies by Burleigh et al. 2018; Adams, Stavropoulos, Bulreigh, Liew and Griffiths 2018; Liew, Stavropoulos, Burleigh, Adams and Griffiths 2018; Stavropoulos, Burleigh, Beard, Gomez and Griffiths 2018b).",Keyword search was sufficient,Instruments can be looked up in referenced articles,Referenced instruments can be looked up in original articles. Whether or not they are freely available will likely vary.,NO — there is no analysis script availability statement,,,,,NO — there is no funding statement,,,YES — the statement says that there were no conflicts of interest,Conflict of Interest The authors declare that they have no conflict of interest.,Keyword search was sufficient,
11/5/2023 21:24:23,NM,56383,Yes,Journal's version of record,Yes,Non-experimental,NO — there is no statement about preregistration,,,,,NO — there is no data availability statement,,,,,NO — there is no materials availability statement,,,,,NO — there is no analysis script availability statement,,,,,YES — the statement discloses at least one source of funding,"Funding: The first three authors hold a pre-doctoral scholarship from the Severo Ochoa Program for training in research and teaching in the Principality of Asturias, Spain (BP17-
58, BP17-78, BP17-77). Correspondence: garcia.alba.laura@gmail.com (L. García-Alba).",Keyword search was sufficient,YES — the statement says that there were no conflicts of interest,The authors of this article declare no conflict of interest.,Keyword search was sufficient,
11/5/2023 21:36:24,NM,26152,No — I can only access the article through a paywall,Journal's version of record,Yes,Experimental,YES — the statement says that there is no preregistration,"The study design, hypotheses, and analyses were not preregistered.",Keyword search was sufficient,It was not preregistered,No preregistration,YES — the statement says that the data are available,"Our measures, data, and analysis code are available
at the following link: Open Science Framework (OSF) link: https://osf.io/3hbd6/?view_only=19a1106ec9e94000b14f8870c1260b36.",Keyword search was sufficient,"An online, third-party repository (e.g., OSF, FigShare etc.)",YES,YES — the statement says that the materials are available,"Our measures, data, and analysis code are available at the following link. https://osf.io/3hbd6/?view_only=19a1106ec9e94000b14f8870c1260b36.",Keyword search was sufficient,"An online, third-party repository (e.g., OSF, FigShare etc.)",YES,YES — the statement says that the analysis scripts are available,"Our measures, data, and analysis code are available at the following link. https://osf.io/3hbd6/?view_only=19a1106ec9e94000b14f8870c1260b36.",Keyword search was sufficient,"An online, third-party repository (e.g., OSF, FigShare etc.)",YES,YES — the statement discloses at least one source of funding,This research is supported by Singapore Ministry of Education Academic Research Fund Tier 1 under WBS R-317-000-134-115.,Keyword search was sufficient,NO — there is no conflict of interest statement,,,
11/7/2023 18:56:23,NM,10361,Yes,Journal's version of record,Yes,Non-experimental,NO — there is no statement about preregistration,,,,,YES — the statement says that the data are available,The research data are distributed by the UK Data Service and available at https://beta.ukdataservice.ac.uk/datacatalogue/studies/study?id=6614,Keyword search was sufficient,"An online, third-party repository (e.g., OSF, FigShare etc.)","Because I do not have an institutional affiliation, I am not able to access the data without submitting a request for a username with the UK Data Service. These requests are manually reviewed and can take up to 5 days. So, although my answer would be NO, if I had a UniMelb account I might be able to access the data without contacting anyone.",NO — there is no materials availability statement,,,,,NO — there is no analysis script availability statement,,,,,YES — the statement discloses at least one source of funding,"The UKHLS/Understanding Society COVID-19 study is funded by the Economic and Social Research Council and the Health Foundation. Fieldwork for the survey is carried out by Ipsos MORI and Kantar. The UKHLS is an initiative funded by the Economic and Social Research Council and various Government Departments, with scientific leadership by the Institute for Social and Economic Research, University of Essex. The research data are distributed by the UK Data Service. However, these organizations bear no responsibility for the analysis or interpretation of the data.",Keyword search was sufficient,YES — the statement discloses at least one conflict of interest,ER has previously received research funding from Unilever and the American Beverage Association for unrelated research.,Keyword search was sufficient,
11/7/2023 19:06:28,NM,49673,No — I can only access the article through a paywall,Journal's version of record,Yes,Non-experimental,NO — there is no statement about preregistration,,,,,NO — there is no data availability statement,,,,,"The measures used are referenced, but there is no direct link to the measures themselves",N/A,Manual search was needed,Measures are referenced,It may be possible to access the measures through the referenced papers,NO — there is no analysis script availability statement,,,,,NO — there is no funding statement,,,NO — there is no conflict of interest statement,,,
11/9/2023 11:38:16,NM,61523,Yes,Journal's version of record,Yes,Non-experimental,NO — there is no statement about preregistration,,,,,NO — there is no data availability statement,,,,,UNCLEAR — a third party source is identified without any indication of availability,,,,,NO — there is no analysis script availability statement,,,,,YES — the statement discloses at least one source of funding,"The author(s) disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: This work was supported by a grant from the Alzheimer’s Association awarded to Drs. Callahan, Stuss and Black (#AACF-16-443540) and by a Canada Research Chair to Dr. Callahan. Dr. Bierstone received funding from the Comprehensive Research Experience for Medical Students (CREMS) program and the LC Campbell foundation during this work. The Sunnybrook Dementia Study (ClinicalTrials.gov NCT01800214) is supported through the Canadian Institutes of Health Research (MOP-13129; FDN 159910). We graciously thank the Department of Medicine, Sunnybrook Health Sciences Centre, Hurvitz Brain Sciences Program at the Sunnybrook Research Institute, inaugural Brill Chair in Neurology, and the Toronto Dementia Research Alliance, the University of Toronto for financial and salary support to Dr. Black.",Keyword search was sufficient,YES — the statement says that there were no conflicts of interest,"The author(s) declared no potential conflicts of interest with respect to the research, authorship, and/or publication of this article.",Keyword search was sufficient,
11/9/2023 11:44:11,NM,43333,No — I can only access the article through a paywall,Journal's version of record,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/9/2023 11:52:41,NM,32352,Yes,Journal's version of record,Yes,Experimental,NO — there is no statement about preregistration,,,,,YES — the statement says that the data are available,The data that support the findings of this study are available from the corresponding author upon reasonable request.,Keyword search was sufficient,Upon request from the authors,NO,UNCLEAR — a third party source is identified without any indication of availability,,,,,NO — there is no analysis script availability statement,,,,,YES — the statement says that there was no relevant funding,The authors thank MSU's College of Education for the material support in conducting this study. No funding was received to conduct this project.,Keyword search was sufficient,YES — the statement says that there were no conflicts of interest,The authors do not have any conflict of interest to disclose.,Keyword search was sufficient,
11/9/2023 11:59:45,NM,66359,Yes,Journal's version of record,Yes,Non-experimental,NO — there is no statement about preregistration,,,,,NO — there is no data availability statement,,,,,NO — there is no materials availability statement,,,,,NO — there is no analysis script availability statement,,,,,YES — the statement says that there was no relevant funding,"The author(s) received no financial support for the research, authorship, and/or publication
of this article.",Keyword search was sufficient,YES — the statement says that there were no conflicts of interest,"The author(s) declared no potential conflicts of interest with respect to the research, authorship, and/or publication of this article.",Keyword search was sufficient,
11/10/2023 10:40:06,NM,55856,Yes,Journal's version of record,Yes,Non-experimental,NO — there is no statement about preregistration,,,,,YES — the statement says that the data are available,"The data supporting the conclusions of this article are available on request in the MADATA - Research Data Repository of the University of Mannheim (doi: 10.7801/388), available at:
https://madata.bib.uni-mannheim.de/.",Keyword search was sufficient,Personal or institution website,NO,UNCLEAR — a third party source is identified without any indication of availability,,,,,NO — there is no analysis script availability statement,,,,,YES — the statement discloses at least one source of funding,"The publication of this article was funded by the Ministry of
Science, Research and the Arts Baden-Württemberg and the
University of Mannheim.",Keyword search was sufficient,YES — the statement says that there were no conflicts of interest,"The authors declare that the research was conducted in
the absence of any commercial or financial relationships that could be construed
as a potential conflict of interest.",Keyword search was sufficient,
11/10/2023 10:54:28,NM,30871,No — I can only access the article through a paywall,Journal's version of record,Yes,Non-experimental,NO — there is no statement about preregistration,,,,,NO — there is no data availability statement,,,,,UNCLEAR — a third party source is identified without any indication of availability,,,,,NO — there is no analysis script availability statement,,,,,YES — the statement discloses at least one source of funding,"This research was funded by Educational Testing Service (ETS) under a Committee
of Examiners and the Test of English as a Foreign Language Young Students research grant. ETS does
not discount or endorse the methodology, results, implications, or opinions presented by the researcher.
This work was partially supported by the Japan Society for the Promotion of Science (JSPS) KAKENHI
Grant Number 20K13119.",Keyword search was sufficient,NO — there is no conflict of interest statement,,,
11/10/2023 11:18:39,NM,35206,Yes,Journal's version of record,Yes,Experimental,NO — there is no statement about preregistration,,,,,YES — the statement says that the data are available,"The raw data supporting the conclusions of this article will be
made available by the authors, without undue reservation.",Keyword search was sufficient,Upon request from the authors,NO,NO — there is no materials availability statement,,,,,NO — there is no analysis script availability statement,,,,,YES — the statement discloses at least one source of funding,"This research is supported by the Social Sciences and Humanities
Research Council of Canada (SSHRC) Grant (grant no: 435-
2020-0761).",Keyword search was sufficient,YES — the statement says that there were no conflicts of interest,"The authors declare that the research was conducted in the
absence of any commercial or financial relationships that could be construed as a
potential conflict of interest.",Keyword search was sufficient,
11/10/2023 11:28:00,NM,39386,Yes,Journal's version of record,Yes,Experimental,NO — there is no statement about preregistration,,,,,NO — there is no data availability statement,,,,,UNCLEAR — a third party source is identified without any indication of availability,,,,,NO — there is no analysis script availability statement,,,,,YES — the statement discloses at least one source of funding,"This research was supported by a grant
from the Federal Ministry for Economic
Affairs and Climate Action (EXIST
program) to Mathias Weymar, Grant/
Award Number: 03EGSSI013",Keyword search was sufficient,YES — the statement says that there were no conflicts of interest,The authors declare no conflict of interests.,Keyword search was sufficient,
11/10/2023 11:33:56,NM,49234,Yes,Journal's version of record,Yes,Experimental,NO — there is no statement about preregistration,,,,,YES — the statement says that the data are available,"The dataset generated during and/or analyzed during the current
study is available from the corresponding author upon reasonable request.",Keyword search was sufficient,Upon request from the authors,NO,NO — there is no materials availability statement,,,,,NO — there is no analysis script availability statement,,,,,YES — the statement says that there was no relevant funding,This research received no external funding.,Keyword search was sufficient,YES — the statement says that there were no conflicts of interest,The authors declare no conflict of interest.,Keyword search was sufficient,
11/10/2023 11:43:56,NM exclude (recoded),46814,Yes,Journal's version of record,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2023 11:53:37,NM,28697,No — I can only access the article through a paywall,Journal's version of record,Yes,Experimental,NO — there is no statement about preregistration,,,,,NO — there is no data availability statement,,,,,UNCLEAR — a third party source is identified without any indication of availability,,,,,NO — there is no analysis script availability statement,,,,,YES — the statement discloses at least one source of funding,"The research project was funded by the Community Services Division Tung Wah
Group of Hospitals.",Keyword search was sufficient,NO — there is no conflict of interest statement,,,
11/10/2023 12:00:04,NM,46569,Yes,Journal's version of record,Yes,Experimental,NO — there is no statement about preregistration,,,,,NO — there is no data availability statement,,,,,UNCLEAR — a third party source is identified without any indication of availability,,,,,NO — there is no analysis script availability statement,,,,,NO — there is no funding statement,,,NO — there is no conflict of interest statement,,,
11/10/2023 12:09:06,NM,63847,Yes,Journal's version of record,Yes,Non-experimental,YES — the statement says that there is no preregistration,The study was not preregistered.,Keyword search was sufficient,No preregistration,No preregistration,YES — the statement says that the data are available,"This article earned Open Data and Open Materials
badges through Open Practices Disclosure from the Center
for Open Science. The data and materials are permanently
and openly accessible at https://osf.io/4hgub/.",Keyword search was sufficient,"An online, third-party repository (e.g., OSF, FigShare etc.)",YES,YES — the statement says that the materials are available,"This article earned Open Data and Open Materials
badges through Open Practices Disclosure from the Center
for Open Science. The data and materials are permanently
and openly accessible at https://osf.io/4hgub/.",Keyword search was sufficient,"An online, third-party repository (e.g., OSF, FigShare etc.)",YES,YES — the statement says that the analysis scripts are available,"All R scripts including R code to produce the
figures are available on the OSF repository.",Manual search was needed,"An online, third-party repository (e.g., OSF, FigShare etc.)",YES,YES — the statement says that there was no relevant funding,"The author(s) received no financial support for the research,
authorship, and/or publication of this article.",Keyword search was sufficient,YES — the statement says that there were no conflicts of interest,"The author(s) declared no potential conflicts of interest with
respect to the research, authorship, and/or publication of
this article.",Keyword search was sufficient,
11/10/2023 12:19:39,NM,73397,Yes,An alternative open access version,Yes,Experimental,NO — there is no statement about preregistration,,,,,YES — the statement says that the data are available,"The datasets analyzed in the current study are not publicly
available, due to ethical concerns, but are available from the corresponding
author on reasonable request.",Keyword search was sufficient,Upon request from the authors,NO,UNCLEAR — a third party source is identified without any indication of availability,,,,,NO — there is no analysis script availability statement,,,,,NO — there is no funding statement,,,YES — the statement says that there were no conflicts of interest,Authors have no conflicts of interest.,Keyword search was sufficient,
11/10/2023 12:28:03,NM,26570,Yes,Journal's version of record,Yes,Experimental,NO — there is no statement about preregistration,,,,,YES — the statement says that the data are available,"The data and materials from the present experiment are publicly
available at the Open Science Framework website: https://osf.io/
zyauc/.",Keyword search was sufficient,"An online, third-party repository (e.g., OSF, FigShare etc.)",YES,YES — the statement says that the materials are available,"The data and materials from the present experiment are publicly
available at the Open Science Framework website: https://osf.io/
zyauc/.",Keyword search was sufficient,"An online, third-party repository (e.g., OSF, FigShare etc.)",YES,NO — there is no analysis script availability statement,,,,,YES — the statement says that there was no relevant funding,"The author(s) received no financial support for the research,
authorship, and/or publication of this article.",Keyword search was sufficient,YES — the statement says that there were no conflicts of interest,"The author(s) declared no potential conflicts of interest with respect
to the research, authorship, and/or publication of this article.",Keyword search was sufficient,
11/10/2023 12:39:06,NM,53708,Yes,Journal's version of record,Yes,Experimental,YES — the statement says that there is a preregistration,"A cross-sectional and longitudinal analysis of baseline (June–September 2017) and followup
(May–September 2018) data from the Fit to Study cluster-randomized controlled trial,
registered with ClinicalTrials.gov, NCT03286725.",Keyword search was sufficient,ClinicalTrials.gov,NO,YES — the statement says that the data are available,"The full Fit to Study trial data are archived and available from the corresponding author on
reasonable request. The datasets generated and here analysed are not publicly available due to
the sensitivity of the data.",Keyword search was sufficient,Upon request from the authors,NO,UNCLEAR — a third party source is identified without any indication of availability,,,,,NO — there is no analysis script availability statement,,,,,YES — the statement discloses at least one source of funding,"The research was funded by the Education Endowment Foundation (EEF) and the Wellcome
Trust under their Education and Neuroscience Programme (Grant Reference 2681). The
Wellcome Centre for Integrative Neuroimaging is supported by core funding from the
Wellcome Trust (203139/Z/16/Z). HJB is a Wellcome Trust Principal Research Fellow
(110027/Z/15/Z) and is supported by the NIHR Oxford Biomedical Research Centre. HD is
supported by the Elizabeth Casson Trust and the NIHR Oxford Health Biomedical Research
Centre. The views expressed are those of the authors and not necessarily those of the NHS, the
NIHR, or the Department of Health. The funders had no role in study design, data collection
and analysis, decision to publish, or preparation of the manuscript.",Keyword search was sufficient,YES — the statement says that there were no conflicts of interest,All authors declare no conflict of interest.,Keyword search was sufficient,
11/10/2023 12:53:53,NM,45601,Yes,Journal's version of record,Yes,Non-experimental,NO — there is no statement about preregistration,,,,,Selected data is included in the appendices,"The appendix (Tables A2 and A3) includes illustrative
quotes for all first-order codes.",Manual search was needed,Within the article (or appendices),Selected data included in appendices,Interview guide included in appendix,"This final interview guide comprised four sets of questions (see Appendix
Table A1).",Manual search was needed,Within the article (or appendices),YES,NO — there is no analysis script availability statement,,,,,NO — there is no funding statement,,,YES — the statement discloses at least one conflict of interest,"The author(s) declared the following potential conflicts of interest with respect to the research, authorship, and/or
publication of this article: In this article we have combined insider and outsider views to the analysis to secure rich
data access. Author team includes two individuals (second and third author) who have worked with the organization
that has been under inquiry, and second author received a compensation for running operational procedures in the
network. There are no formal or informal obligations for author team to report particular results, and the research
process is fully disclosed in the article.",Keyword search was sufficient,
11/10/2023 13:02:40,NM,60899,Yes,Journal's version of record,Yes,Experimental,NO — there is no statement about preregistration,,,,,YES — the statement says that the data are available,Data and materials are available at: https://osf.io/yrdse/,Keyword search was sufficient,"An online, third-party repository (e.g., OSF, FigShare etc.)","Unable to view data, as permission required on OSF. Unsure if this is because of some quirk in my account, or if permission is required for all interested parties",YES — the statement says that the materials are available,Data and materials are available at: https://osf.io/yrdse/,Keyword search was sufficient,"An online, third-party repository (e.g., OSF, FigShare etc.)",Permission required,NO — there is no analysis script availability statement,,,,,YES — the statement discloses at least one source of funding,"Funding, Tommi Kokkonen was funded by a grant from Academy of Finland (Grant no: 311449).",Keyword search was sufficient,YES — the statement says that there were no conflicts of interest,We declare no conflicts of interest.,Keyword search was sufficient,
11/10/2023 13:07:33,NM,31374,Yes,Journal's version of record,Yes,Non-experimental,NO — there is no statement about preregistration,,,,,YES — the statement says that the data are available,Data are available on the OSF at https://osf.io/824fc/,Keyword search was sufficient,"An online, third-party repository (e.g., OSF, FigShare etc.)",YES,UNCLEAR — a third party source is identified without any indication of availability,,,,,NO — there is no analysis script availability statement,,,,,NO — there is no funding statement,,,YES — the statement says that there were no conflicts of interest,There are no conflicts of interest to report by the authors.,Keyword search was sufficient,
